Date,Price,Open,High,Low,Change %
11/10/2013,0.022,0.031,0.064,0.017,-29.03%
11/03/2013,0.031,0.031,0.031,0.015,-8.82%
10/27/2013,0.034,0.015,0.031,0.006,47.83%
10/20/2013,0.023,0.040,0.041,0.004,-43.90%
10/13/2013,0.041,0.059,0.059,0.006,355.56%
10/06/2013,0.009,0.059,0.059,0.006,-18.18%
09/29/2013,0.011,0.014,0.060,0.004,-38.89%
09/22/2013,0.018,0.014,0.059,0.008,-33.33%
09/15/2013,0.027,0.059,0.059,0.006,-20.59%
09/08/2013,0.034,0.002,0.061,0.002,385.71%
09/01/2013,0.007,0.014,0.060,0.006,-53.33%
08/25/2013,0.015,0.015,0.057,0.011,-6.25%
08/18/2013,0.016,0.056,0.069,0.010,-70.91%
08/11/2013,0.055,0.034,0.109,0.008,41.03%
08/04/2013,0.039,0.031,0.041,-0.009,-4.88%
07/28/2013,0.041,0.006,0.041,-0.011,485.71%
07/21/2013,0.007,0.038,0.122,0.006,-81.58%
07/14/2013,0.038,0.040,0.116,0.009,-2.56%
07/07/2013,0.039,0.026,0.159,-0.025,-750.00%
06/30/2013,-0.006,0.026,0.026,-0.007,-220.00%
06/23/2013,0.005,0.026,0.042,0.001,-78.26%
06/16/2013,0.023,0.025,0.025,0.015,-8.00%
06/09/2013,0.025,0.023,0.059,0.002,-55.36%
06/02/2013,0.056,0.010,0.107,-0.011,-2,900.00%
05/26/2013,-0.002,0.009,0.091,-0.005,-122.22%
05/19/2013,0.009,0.026,0.056,-0.009,-64.00%
05/12/2013,0.025,0.001,0.076,-0.013,1,150.00%
05/05/2013,0.002,-0.002,0.069,-0.002,-88.24%
04/28/2013,0.017,0.016,0.045,-0.006,13.33%
04/21/2013,0.015,0.014,0.071,-0.005,0.00%
04/14/2013,0.000,0.013,0.045,-0.009,-100.00%
04/07/2013,0.013,0.011,0.114,0.006,18.18%
03/31/2013,0.011,0.082,0.083,0.005,10.00%
03/24/2013,0.010,0.094,0.098,0.005,11.11%
03/17/2013,0.009,0.009,0.083,0.004,0.00%
03/10/2013,0.009,0.017,0.097,0.004,-47.06%
03/03/2013,0.017,0.015,0.068,0.005,13.33%
02/24/2013,0.015,0.014,0.086,0.005,7.14%
02/17/2013,0.014,0.043,0.251,0.009,-70.21%
02/10/2013,0.047,0.019,0.096,0.019,-7.84%
02/03/2013,0.051,0.051,0.088,0.019,-17.74%
01/27/2013,0.062,0.093,0.113,0.036,21.57%
01/20/2013,0.051,0.051,0.101,0.024,-15.00%
01/13/2013,0.060,0.021,0.097,0.009,185.71%
01/06/2013,0.021,0.011,0.149,-0.006,23.53%
12/30/2012,0.017,-0.026,0.017,-0.026,0.00%
12/23/2012,0.000,0.005,0.275,-0.028,-100.00%
12/16/2012,0.005,0.051,0.097,-0.014,0.00%
12/09/2012,0.000,0.088,0.245,-0.021,-100.00%
12/02/2012,0.008,-0.026,0.223,-0.036,-129.63%
11/25/2012,-0.027,0.094,0.279,-0.077,-400.00%
11/18/2012,0.009,0.009,0.259,-0.035,0.00%
11/11/2012,0.009,0.006,0.254,-0.049,50.00%
11/04/2012,0.006,0.006,0.120,-0.052,0.00%
10/28/2012,0.006,0.005,0.141,-0.041,20.00%
10/21/2012,0.005,0.089,0.157,-0.039,0.00%
10/14/2012,0.005,0.005,0.005,0.005,25.00%
10/07/2012,0.004,0.004,0.004,0.004,-33.33%
09/30/2012,0.006,0.006,0.006,0.006,0.00%
09/23/2012,0.006,0.006,0.006,0.006,20.00%
09/16/2012,0.005,0.005,0.005,0.005,0.00%
09/09/2012,0.005,0.005,0.005,0.005,-106.33%
09/02/2012,-0.079,-0.079,-0.079,-0.079,-16.84%
08/26/2012,-0.095,-0.095,-0.095,-0.095,-4.04%
08/19/2012,-0.099,-0.099,-0.099,-0.099,6.45%
08/12/2012,-0.093,-0.093,-0.093,-0.093,-213.41%
08/05/2012,0.082,0.082,0.082,0.082,1,266.67%
07/29/2012,0.006,0.006,0.006,0.006,500.00%
07/22/2012,0.001,0.001,0.001,0.001,-95.65%
07/15/2012,0.023,0.023,0.023,0.023,-34.29%
07/08/2012,0.035,0.035,0.035,0.035,218.18%
07/01/2012,0.011,0.011,0.011,0.011,-26.67%
06/24/2012,0.015,0.015,0.015,0.015,-34.78%
06/17/2012,0.023,0.023,0.023,0.023,-45.24%
06/10/2012,0.042,0.042,0.042,0.042,-16.00%
06/03/2012,0.050,0.050,0.050,0.050,8.70%
05/27/2012,0.046,0.046,0.046,0.046,76.92%
05/20/2012,0.026,0.026,0.026,0.026,-44.68%
05/13/2012,0.047,0.047,0.047,0.047,193.75%
05/06/2012,0.016,0.016,0.016,0.016,433.33%
04/29/2012,0.003,0.003,0.003,0.003,-70.00%
04/22/2012,0.010,0.010,0.010,0.010,-61.54%
04/15/2012,0.026,0.026,0.026,0.026,-65.79%
04/08/2012,0.076,0.076,0.076,0.076,68.89%
04/01/2012,0.045,0.045,0.045,0.045,-18.18%
03/25/2012,0.055,0.055,0.055,0.055,-20.29%
03/18/2012,0.069,0.069,0.069,0.069,-14.81%
03/11/2012,0.081,0.081,0.081,0.081,50.00%
03/04/2012,0.054,0.054,0.054,0.054,-70.81%
02/26/2012,0.185,0.185,0.185,0.185,184.62%
02/19/2012,0.065,0.065,0.065,0.065,-7.14%
02/12/2012,0.070,0.070,0.070,0.070,94.44%
02/05/2012,0.036,0.036,0.036,0.036,260.00%
01/29/2012,0.010,0.010,0.010,0.010,-56.52%
01/22/2012,0.023,0.023,0.023,0.023,2,200.00%
01/15/2012,0.001,0.001,0.001,0.001,-96.30%
01/08/2012,0.027,0.027,0.027,0.027,-113.17%
01/01/2012,-0.205,-0.205,-0.205,-0.205,135.63%
12/25/2011,-0.087,-0.087,-0.087,-0.087,0.00%
12/18/2011,-0.087,-0.087,-0.087,-0.087,-1,840.00%
12/11/2011,0.005,0.005,0.005,0.005,-91.07%
12/04/2011,0.056,0.056,0.056,0.056,86.67%
11/27/2011,0.030,0.030,0.030,0.030,-65.91%
11/20/2011,0.088,0.088,0.088,0.088,37.50%
11/13/2011,0.064,0.064,0.064,0.064,-17.95%
11/06/2011,0.078,0.078,0.078,0.078,-7.14%
10/30/2011,0.084,0.084,0.084,0.084,-69.89%
10/23/2011,0.279,0.279,0.279,0.279,-2.45%
10/16/2011,0.286,0.286,0.286,0.286,4.00%
10/09/2011,0.275,0.275,0.275,0.275,-27.44%
10/02/2011,0.379,0.379,0.379,0.379,52.82%
09/25/2011,0.248,0.248,0.248,0.248,65.33%
09/18/2011,0.150,0.150,0.150,0.150,-52.98%
09/11/2011,0.319,0.319,0.319,0.319,0.95%
09/04/2011,0.316,0.316,0.316,0.316,-19.80%
08/28/2011,0.394,0.394,0.394,0.394,-6.41%
08/21/2011,0.421,0.421,0.421,0.421,-37.54%
08/14/2011,0.674,0.674,0.674,0.674,9.95%
08/07/2011,0.613,0.613,0.613,0.613,10.05%
