Date,Price,Open,High,Low,Change %,DPB
08-03-2014,1.0530,1.1380,1.1860,1.0230,-7.63%,-0.223974999999995
07/27/2014,1.1400,1.1490,1.2000,1.1110,-0.52%,-0.223974999999995
07/20/2014,1.1460,1.1530,1.1880,1.1390,-1.21%,-2.16756000000001
07/13/2014,1.1600,1.2170,1.2210,1.1360,-3.65%,-4.09299
07-06-2014,1.2040,1.2670,1.2770,1.1680,-4.90%,2.87861
06/29/2014,1.2660,1.2630,1.3340,1.2360,0.24%,2.87861
06/22/2014,1.2630,1.3470,1.3570,1.2380,-6.38%,-9.03506000000001
06/15/2014,1.3490,1.3620,1.4190,1.3060,-1.60%,-0.952829999999997
06-08-2014,1.3710,1.3710,1.4450,1.3510,1.03%,-0.691420000000003
06-01-2014,1.3570,1.3600,1.4920,1.3320,0.00%,-7.30049999999999
05/25/2014,1.3570,1.4130,1.4330,1.3310,-3.90%,-7.30049999999999
05/18/2014,1.4120,1.3300,1.4220,1.3120,5.69%,5.66228
05-11-2014,1.3360,1.4660,1.4750,1.2980,-8.43%,-2.4202
05-04-2014,1.4590,1.4470,1.4950,1.4390,0.48%,-1.61013000000001
04/27/2014,1.4520,1.4940,1.5380,1.4480,-2.09%,-1.61013000000001
04/20/2014,1.4830,1.5280,1.5580,1.4770,-2.11%,-0.247159999999993
04/13/2014,1.5150,1.4930,1.5330,1.4720,0.60%,-1.74686000000001
04-06-2014,1.5060,1.5480,1.5890,1.4900,-3.28%,0.0106099999999982
03/30/2014,1.5570,1.5610,1.6400,1.5500,0.39%,0.0106099999999982
03/23/2014,1.5510,1.6420,1.6560,1.5130,-5.02%,-7.89813
03/16/2014,1.6330,1.5470,1.6700,1.5410,5.56%,6.49372
03-09-2014,1.5470,1.6340,1.6610,1.5060,-6.41%,2.47375
03-02-2014,1.6530,1.5800,1.6830,1.5550,1.60%,-6.48803999999999
02/23/2014,1.6270,1.6620,1.6950,1.5470,-2.40%,-6.48803999999999
02/16/2014,1.6670,1.6820,1.7040,1.6330,-1.19%,-1.58368
02-09-2014,1.6870,1.6670,1.7260,1.6540,1.57%,-0.867799999999995
02-02-2014,1.6610,1.6590,1.7050,1.5990,0.12%,-7.74581
01/26/2014,1.6590,1.6620,1.7020,1.6030,0.24%,-7.74581
01/19/2014,1.6550,1.7520,1.7730,1.6380,-5.70%,-5.31570000000001
01-12-2014,1.7550,1.8410,1.8540,1.7510,-4.93%,-6.63537999999999
01-05-2014,1.8460,1.9270,1.9300,1.8390,-5.04%,-5.03974
12/29/2013,1.9440,1.9610,1.9710,1.9290,-0.36%,-5.03974
12/22/2013,1.9510,1.8770,1.9540,1.8690,4.56%,8.30882
12/15/2013,1.8660,1.8170,1.9060,1.8120,2.08%,4.41502
12-08-2013,1.8280,1.8470,1.8550,1.8150,-0.49%,12.7736
12-01-2013,1.8370,1.7020,1.8910,1.6970,8.70%,-4.82565999999999
11/24/2013,1.6900,1.7590,1.7600,1.6830,-3.37%,-4.82565999999999
11/17/2013,1.7490,1.7070,1.7840,1.6790,2.34%,3.00493
11-10-2013,1.7090,1.7570,1.7960,1.6950,-3.06%,5.45935000000001
11-03-2013,1.7630,1.6930,1.7710,1.6710,4.13%,-5.69580000000001
10/27/2013,1.6930,1.7630,1.7670,1.6510,-3.48%,-5.69580000000001
10/20/2013,1.7540,1.8360,1.8570,1.7370,-4.47%,-8.12477
10/13/2013,1.8360,1.8570,1.9460,1.8180,-1.40%,-1.60987999999999
10-06-2013,1.8620,1.8170,1.8830,1.7780,1.58%,0.0802500000000018
09/29/2013,1.8330,1.7600,1.8520,1.7430,2.98%,0.0802500000000018
09/22/2013,1.7800,1.9440,1.9810,1.7720,-8.86%,-10.40914
09/15/2013,1.9530,1.9340,2.0160,1.8640,-1.11%,-6.95053
09-08-2013,1.9750,1.9600,2.0480,1.9280,1.44%,12.71876
09-01-2013,1.9470,1.9020,2.0500,1.8910,4.96%,-5.32581
08/25/2013,1.8550,1.9300,1.9340,1.8220,-3.99%,-5.32581
08/18/2013,1.9320,1.9090,1.9810,1.8360,2.93%,7.78222000000001
08-11-2013,1.8770,1.6760,1.9070,1.6760,11.59%,-1.30967
08-04-2013,1.6820,1.6490,1.7240,1.6250,1.45%,2.7097
07/28/2013,1.6580,1.6580,1.7340,1.5950,-0.48%,2.7097
07/21/2013,1.6660,1.5160,1.6960,1.5080,9.25%,7.22006
07/14/2013,1.5250,1.5480,1.5930,1.5040,-1.87%,-4.05134999999999
07-07-2013,1.5540,1.7070,1.7310,1.5370,-9.81%,-3.18827999999999
06/30/2013,1.7230,1.7400,1.7680,1.5980,-0.40%,-3.18827999999999
06/23/2013,1.7300,1.7750,1.8550,1.6960,-0.57%,3.24218
06/16/2013,1.7400,1.5410,1.7420,1.5060,15.00%,22.32594
06-09-2013,1.5130,1.5550,1.6570,1.5090,-2.13%,6.91915
06-02-2013,1.5460,1.5030,1.5770,1.4850,2.32%,6.97763
05/26/2013,1.5110,1.4360,1.5520,1.4240,5.59%,6.97763
05/19/2013,1.4310,1.3570,1.4740,1.3250,8.74%,8.67652
05-12-2013,1.3160,1.3890,1.4080,1.2890,-5.05%,11.85514
05-05-2013,1.3860,1.2450,1.3860,1.2260,11.33%,-5.3395
04/28/2013,1.2450,1.2090,1.2570,1.1530,2.98%,-5.3395
04/21/2013,1.2090,1.2620,1.2900,1.1940,-3.43%,-4.73993
04/14/2013,1.2520,1.2570,1.3060,1.2190,-0.56%,-4.46742000000001
04-07-2013,1.2590,1.2170,1.3360,1.2150,4.05%,-13.74386
03/31/2013,1.2100,1.2760,1.3190,1.1990,-5.62%,-13.74386
03/24/2013,1.2820,1.4060,1.4150,1.2490,-6.97%,-0.232870000000003
03/17/2013,1.3780,1.3630,1.4110,1.3350,-5.10%,-8.15132
03-10-2013,1.4520,1.5000,1.5240,1.4450,-4.85%,2.62702000000001
03-03-2013,1.5260,1.3970,1.5420,1.3910,8.00%,-10.67274
